os,device_type,client_type,network,idea_type,industry_level1_id,industry_level2_id,location,isweekend,weekdays,day,hour,site,status,is_cache,is_pasv_flush,isp,ugender,rk_age_range,rk_hour
2,1,a,0,1,1,21,200,0,5,12,21,1,0,0,0,4,0,0,21
1,1,a,2,2,4,49,20,0,5,12,18,1,0,0,0,1,0,41-45,18
1,1,a,2,3,4,55,22,0,5,12,18,1,0,0,0,1,0,41-45,18
2,1,a,1,2,1,19,25,0,5,12,1,1,1,0,0,4,male,0,1
1,1,a,1,1,9,92,26,0,5,12,22,1,0,0,0,4,0,26-30,21
1,1,a,0,1,9,92,28,0,5,12,20,1,0,0,0,4,0,0,19
2,1,a,1,1,9,95,26,0,5,12,22,1,0,0,0,3,male,0,22
2,1,a,1,3,1,19,23,0,5,12,15,1,1,0,0,1,male,0,15
1,1,a,1,1,11,114,22,0,5,12,21,1,1,0,0,2,male,0,21
1,1,a,1,1,4,53,20,0,5,12,17,1,1,1,0,1,male,0,11
2,1,a,2,1,9,95,27,0,5,12,18,1,1,0,0,2,female,0,18
1,1,a,1,1,7,75,4,0,5,12,22,1,0,0,0,2,0,0,22
1,1,a,1,3,1,19,21,0,5,12,17,1,1,0,0,2,male,0,17
1,1,a,1,3,1,19,20,0,5,12,10,1,0,0,0,1,0,26-30,10
1,1,a,2,3,9,90,22,0,5,12,16,1,0,0,0,1,male,0,16
1,1,a,2,3,13,127,21,0,5,12,11,1,0,0,0,1,0,31-35,11
2,1,a,2,3,1,19,4,0,5,12,10,1,0,0,0,1,male,0,10
1,1,a,1,3,1,19,4,0,5,12,18,1,0,0,0,1,0,21-25,18
1,1,a,2,2,8,82,20,0,5,12,10,1,0,0,0,3,0,0,10
1,1,a,2,2,9,92,21,0,5,12,17,1,0,0,0,1,0,0,17
1,1,a,2,3,12,123,22,0,5,12,17,1,0,0,0,1,0,0,17
1,1,a,1,3,9,90,21,0,5,12,21,1,0,0,0,1,0,31-35,21
1,1,a,2,2,12,124,26,0,5,12,22,1,0,0,0,1,male,0,22
1,1,a,2,14,3,37,20,0,5,12,10,1,0,0,0,4,0,0,10
1,1,a,2,1,11,114,29,0,5,12,9,1,1,0,0,2,male,0,8
2,1,a,1,1,9,91,4,0,5,12,2,1,0,0,0,2,male,0,2
1,1,a,2,1,7,74,26,0,5,12,10,1,0,0,0,1,0,0,10
1,1,a,1,1,1,21,25,0,5,12,12,1,0,0,0,1,male,0,12
1,1,a,1,1,8,86,21,0,5,12,20,1,1,0,0,4,0,0,20
1,1,a,2,2,5,66,21,0,5,12,11,1,0,0,0,1,0,21-25,11
1,1,a,1,3,12,123,23,0,5,12,23,1,1,0,0,3,0,0,23
1,1,a,1,2,1,19,27,0,5,12,23,1,1,0,0,3,0,0,23
2,1,a,1,3,1,19,20,0,5,12,16,1,0,0,0,1,female,0,16
2,1,w,4,3,1,21,101,0,5,12,12,2,0,0,0,4,0,0,12
1,1,a,1,3,12,123,28,0,5,12,23,1,0,0,0,2,0,0,23
1,1,a,1,3,9,106,21,0,5,12,23,1,1,0,0,2,0,0,23
2,1,a,1,1,1,21,27,0,5,12,8,1,1,0,0,1,female,0,8
1,1,a,1,3,1,21,22,0,5,12,18,1,0,0,0,4,0,0,18
2,1,a,1,3,1,19,25,0,5,12,22,1,0,0,0,2,0,31-35,22
1,1,a,1,3,12,123,21,0,5,12,17,1,0,0,0,1,0,0,17
1,1,w,1,3,1,19,52,0,5,12,16,2,0,0,0,4,0,0,16
2,1,a,2,1,11,116,27,0,5,12,10,1,0,0,0,1,female,0,10
1,1,a,1,1,16,139,4,0,5,12,23,1,0,0,0,1,0,36-40,23
1,1,a,1,3,1,19,4,0,5,12,23,1,0,0,0,1,0,31-35,23
1,1,a,2,2,9,92,4,0,5,12,22,1,0,0,0,1,male,0,22
1,1,w,4,3,4,55,102,0,5,12,17,2,0,0,0,4,0,0,17
1,1,a,1,1,2,34,4,0,5,12,7,1,0,0,0,1,0,0,7
2,1,a,2,3,6,70,27,0,5,12,10,1,1,0,0,1,male,0,10
1,1,w,1,3,1,19,2,0,5,12,20,2,0,0,0,4,0,0,20
2,1,a,1,2,11,114,25,0,5,12,10,1,0,0,0,3,female,0,10
1,1,a,1,2,7,75,28,0,5,12,9,1,0,0,0,1,0,36-40,8
2,1,a,2,3,9,94,4,0,5,12,15,1,0,0,0,1,male,0,15
2,1,a,2,2,11,114,21,0,5,12,10,1,1,0,0,3,female,0,10
1,1,a,2,1,1,19,4,0,5,12,17,1,0,0,0,1,0,0,17
1,1,a,1,2,1,19,23,0,5,12,20,1,0,0,0,1,male,0,20
2,1,a,1,1,14,133,4,0,5,12,1,1,0,0,0,2,male,0,1
1,1,a,1,3,1,21,21,0,5,12,11,1,1,0,0,1,0,21-25,11
1,1,a,1,4,1,21,29,0,5,12,6,1,1,0,0,4,0,0,5
1,1,a,1,1,3,37,27,0,5,12,6,1,1,0,0,4,0,0,5
1,1,a,1,1,11,114,22,0,5,12,16,1,0,0,0,1,0,0,16
1,1,a,1,3,1,19,23,0,5,12,16,1,0,0,0,1,0,0,16
1,1,a,2,3,9,90,23,0,5,12,16,1,1,0,0,1,male,0,16
1,1,a,1,12,12,123,50,0,5,12,11,1,0,0,0,1,0,31-35,11
1,1,w,4,2,9,92,102,0,5,12,16,2,0,0,0,4,0,0,16
2,1,a,1,3,1,19,200,0,5,12,0,1,0,0,0,3,0,21-25,0
1,1,a,1,3,18,152,20,0,5,12,19,1,0,0,0,1,male,0,19
1,1,a,2,2,9,92,4,0,5,12,16,1,0,0,0,2,0,0,16
1,1,a,1,3,1,19,27,0,5,12,14,1,1,0,0,4,0,36-40,14
1,1,a,1,3,1,19,21,0,5,12,11,1,0,0,0,1,0,0,11
2,1,a,1,5,1,19,26,0,5,12,18,1,1,0,0,1,male,0,18
1,1,a,2,3,4,55,28,0,5,12,22,1,0,0,0,2,0,46-50,22
2,1,a,1,3,1,19,26,0,5,12,22,1,0,0,0,2,0,26-30,22
1,1,a,1,12,9,96,50,0,5,12,19,1,0,0,0,1,0,31-35,19
2,1,a,1,2,16,139,26,0,5,12,9,1,0,0,0,2,female,0,9
2,1,a,1,3,1,19,21,0,5,12,16,1,1,0,0,2,0,41-45,16
1,1,a,1,1,11,114,25,0,5,12,15,1,0,0,0,2,male,0,15
1,1,w,1,1,9,95,102,0,5,12,19,2,0,0,0,4,0,0,19
1,1,w,1,3,1,19,101,0,5,12,19,2,0,0,0,4,0,0,19
2,1,a,2,1,11,114,4,0,5,12,14,1,0,0,0,1,male,0,14
2,1,a,2,3,1,19,25,0,5,12,14,1,0,0,0,1,male,0,14
2,1,a,2,3,1,24,21,0,5,12,14,1,0,0,0,1,male,0,14
1,1,a,1,2,7,75,27,0,5,12,22,1,1,0,0,2,0,21-25,21
2,1,a,1,3,1,19,25,0,5,12,17,1,1,0,0,1,male,0,17
2,1,a,1,3,9,91,28,0,5,12,7,1,1,0,0,1,0,26-30,7
